Engine;Device Type;Patch level;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY;3;1024;10;28.827967;3.574436;0.733906;0.223278;14.116857;64.020479;0.350295;0.158049;45.199731;10.759091;3382.645996
TensorFlowCUDA;ANY;3;512;1;13.803862;6.312936;0.740576;1.129286;7.238520;30.879227;0.356756;0.173127;43.773913;10.117811;12172.808594
TensorFlowCUDA;ANY;3;512;2;12.861279;5.811758;0.655771;0.269402;7.287159;31.780994;0.336148;0.152325;43.683589;9.966405;12224.343750
TensorFlowCUDA;ANY;3;512;3;14.337175;6.283783;0.895068;1.970959;7.199554;30.681402;0.319953;0.155383;42.868388;10.159511;11939.506836
TensorFlowCUDA;ANY;3;512;4;12.536395;6.268209;0.676859;1.154660;7.310732;30.775957;0.347782;0.150092;43.958836;9.786443;12205.568359
TensorFlowCUDA;ANY;3;512;5;14.070074;6.340924;0.807386;1.896908;7.227619;30.777029;0.342461;0.151524;42.842037;8.955899;11975.357422
TensorFlowCUDA;ANY;3;512;6;13.001243;6.425816;0.820243;1.972084;7.239046;31.094052;0.343991;0.150281;44.151936;10.285494;12230.026367
TensorFlowCUDA;ANY;3;512;7;15.574790;6.210268;0.833241;1.544478;7.154469;30.654709;0.353952;0.158081;45.211428;10.727370;12458.833008
TensorFlowCUDA;ANY;3;512;8;13.168471;5.815334;0.647425;0.815843;7.255185;31.043253;0.317158;0.158504;42.398781;10.004877;11789.715820
TensorFlowCUDA;ANY;3;512;9;14.236443;6.061682;0.896933;2.454214;7.179224;30.618234;0.342902;0.157357;43.545778;9.308297;12096.597656
TensorFlowCUDA;ANY;3;512;10;13.931950;6.144327;0.782956;1.518905;7.246040;31.294760;0.344511;0.152238;43.786194;9.384007;12152.776367
TensorFlowCUDA;ANY;3;256;1;5.304195;3.046136;0.597874;1.440751;5.690398;15.084424;0.221327;0.140519;36.993751;7.748082;40095.652344
TensorFlowCUDA;ANY;3;256;2;5.503200;2.786333;0.557674;1.010327;5.580999;15.249266;0.246274;0.151201;38.668028;9.026956;41488.960938
TensorFlowCUDA;ANY;3;256;3;5.403689;3.068244;0.684862;1.654621;5.696523;15.180515;0.231274;0.146706;38.100443;8.978987;41108.011719
TensorFlowCUDA;ANY;3;256;4;5.341389;2.747735;0.615026;1.478020;5.689473;15.203293;0.242736;0.151846;38.549939;9.049245;41493.007812
TensorFlowCUDA;ANY;3;256;5;5.579725;3.108997;0.667228;1.740173;5.625154;15.139442;0.248332;0.154564;39.106371;9.632826;42001.011719
TensorFlowCUDA;ANY;3;256;6;5.746795;3.090731;0.586698;1.204185;5.552718;14.920905;0.351102;0.164730;44.223244;10.452619;46649.707031
TensorFlowCUDA;ANY;3;256;7;5.386444;2.836477;0.663275;1.645419;5.664797;15.082490;0.230284;0.144950;38.005364;8.983564;40985.246094
