Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY;1;6.558097;2.417193;1.076016;1.144811;3.427675;3.560862;0.037843;0.007238;0.000000;-nan;128631.726562
TensorFlowCUDA;ANY;2;6.567935;2.353090;1.068956;1.111785;3.421496;3.069866;0.038078;0.006989;0.000000;-nan;128790.382812
TensorFlowCUDA;ANY;3;6.717409;2.588181;1.057926;1.142272;3.416704;3.040385;0.038108;0.008591;0.000000;-nan;131656.031250
