Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorRT;ANY0;1;20.265458;4.834484;1.272367;1.298072;1.205164;0.069996;0.017637;0.002538;0.015799;0.002172;99106.562500
TensorRT;ANY0;2;19.942377;4.426509;1.271887;1.343592;1.205135;0.056583;0.017681;0.002320;0.015783;0.002122;97482.664062
TensorRT;ANY0;3;20.169696;4.715512;1.292971;1.438819;1.203283;0.055306;0.017569;0.002348;0.015765;0.002075;98622.664062
TensorRT;ANY0;4;20.042844;4.577980;1.264161;1.304365;1.207037;0.054591;0.017676;0.002163;0.015770;0.002021;98009.304688
TensorRT;ANY0;5;20.238808;4.751840;1.258384;1.275319;1.207832;0.064962;0.017554;0.002326;0.015761;0.002195;98912.593750
TensorRT;ANY0;6;20.121412;4.428290;1.261378;1.208682;1.207642;0.058388;0.017652;0.002126;0.015837;0.002297;98374.554688
TensorRT;ANY0;7;20.272212;4.924360;1.316423;1.564096;1.217835;0.088086;0.017676;0.002494;0.016004;0.002169;99158.671875
TensorRT;ANY0;8;20.432989;4.764210;1.276558;1.224842;1.234809;0.114747;0.017767;0.002501;0.016043;0.002197;99931.585938
TensorRT;ANY0;9;20.364957;4.684851;1.260728;1.089553;1.229170;0.092160;0.017750;0.002371;0.016009;0.002250;99615.195312
TensorRT;ANY0;10;20.357974;4.671255;1.268436;1.152384;1.221615;0.092849;0.017639;0.002574;0.015874;0.002637;99580.187500
TensorRT;ANY1;1;20.292176;4.543204;1.302923;1.170191;1.237294;0.090972;0.017804;0.002386;0.016077;0.002100;99302.734375
TensorRT;ANY1;2;20.507890;4.886788;1.271992;1.070846;1.229091;0.093780;0.017937;0.003295;0.016001;0.002142;100290.523438
TensorRT;ANY1;3;20.204952;4.616341;1.288034;1.197899;1.224266;0.092301;0.017721;0.002210;0.015931;0.002053;98800.421875
